# Phase 1.4 successor prompt set (HYPOTHESIS.md §SU-1 through §SU-3)
# Generated: 2026-05-06T12:35:20+00:00
# Seed: 0
# Tokenizer: gpt2
# Total prompts: 70
# Categories: days, months, numerals, letters
# Format: 3-context comma-separated, predict 4th. First-token DLA target.
category	clean_text	shuffled_text	target_word	target_first_token_id	target_first_token_str
days	Monday, Tuesday, Wednesday, 	Wednesday, Monday, Tuesday, 	Thursday	3635	 Thursday
days	Tuesday, Wednesday, Thursday, 	Wednesday, Tuesday, Thursday, 	Friday	3217	 Friday
days	Wednesday, Thursday, Friday, 	Wednesday, Friday, Thursday, 	Saturday	3909	 Saturday
days	Thursday, Friday, Saturday, 	Friday, Thursday, Saturday, 	Sunday	3502	 Sunday
months	January, February, March, 	February, January, March, 	April	3035	 April
months	February, March, April, 	April, March, February, 	May	1737	 May
months	March, April, May, 	May, April, March, 	June	2795	 June
months	April, May, June, 	May, June, April, 	July	2901	 July
months	May, June, July, 	June, May, July, 	August	2932	 August
months	June, July, August, 	August, June, July, 	September	2693	 September
months	July, August, September, 	September, August, July, 	October	3267	 October
months	August, September, October, 	October, August, September, 	November	3389	 November
months	September, October, November, 	November, September, October, 	December	3426	 December
numerals	1, 2, 3, 	2, 3, 1, 	4	604	 4
numerals	2, 3, 4, 	2, 4, 3, 	5	642	 5
numerals	3, 4, 5, 	4, 3, 5, 	6	718	 6
numerals	4, 5, 6, 	5, 6, 4, 	7	767	 7
numerals	5, 6, 7, 	7, 6, 5, 	8	807	 8
numerals	6, 7, 8, 	7, 6, 8, 	9	860	 9
numerals	7, 8, 9, 	7, 9, 8, 	10	838	 10
numerals	8, 9, 10, 	9, 8, 10, 	11	1367	 11
numerals	9, 10, 11, 	10, 9, 11, 	12	1105	 12
numerals	10, 11, 12, 	11, 10, 12, 	13	1511	 13
numerals	11, 12, 13, 	12, 13, 11, 	14	1478	 14
numerals	12, 13, 14, 	14, 12, 13, 	15	1315	 15
numerals	13, 14, 15, 	15, 13, 14, 	16	1467	 16
numerals	14, 15, 16, 	15, 14, 16, 	17	1596	 17
numerals	15, 16, 17, 	17, 15, 16, 	18	1248	 18
numerals	16, 17, 18, 	16, 18, 17, 	19	678	 19
numerals	17, 18, 19, 	19, 18, 17, 	20	1160	 20
numerals	one, two, three, 	three, two, one, 	four	1440	 four
numerals	two, three, four, 	two, four, three, 	five	1936	 five
numerals	three, four, five, 	three, five, four, 	six	2237	 six
numerals	four, five, six, 	six, five, four, 	seven	3598	 seven
numerals	five, six, seven, 	seven, six, five, 	eight	3624	 eight
numerals	six, seven, eight, 	eight, seven, six, 	nine	5193	 nine
numerals	seven, eight, nine, 	eight, nine, seven, 	ten	3478	 ten
numerals	eight, nine, ten, 	ten, nine, eight, 	eleven	22216	 eleven
numerals	nine, ten, eleven, 	eleven, nine, ten, 	twelve	14104	 twelve
numerals	ten, eleven, twelve, 	eleven, ten, twelve, 	thirteen	28306	 thirteen
numerals	eleven, twelve, thirteen, 	thirteen, eleven, twelve, 	fourteen	29167	 fourteen
numerals	twelve, thirteen, fourteen, 	fourteen, twelve, thirteen, 	fifteen	17280	 fifteen
numerals	thirteen, fourteen, fifteen, 	thirteen, fifteen, fourteen, 	sixteen	27913	 sixteen
numerals	fourteen, fifteen, sixteen, 	fourteen, sixteen, fifteen, 	seventeen	38741	 seventeen
numerals	fifteen, sixteen, seventeen, 	seventeen, fifteen, sixteen, 	eighteen	29095	 eighteen
numerals	sixteen, seventeen, eighteen, 	seventeen, eighteen, sixteen, 	nineteen	43063	 nineteen
numerals	seventeen, eighteen, nineteen, 	seventeen, nineteen, eighteen, 	twenty	8208	 twenty
letters	A, B, C, 	B, C, A, 	D	360	 D
letters	B, C, D, 	D, C, B, 	E	412	 E
letters	C, D, E, 	C, E, D, 	F	376	 F
letters	D, E, F, 	F, D, E, 	G	402	 G
letters	E, F, G, 	F, E, G, 	H	367	 H
letters	F, G, H, 	G, H, F, 	I	314	 I
letters	G, H, I, 	I, H, G, 	J	449	 J
letters	H, I, J, 	I, H, J, 	K	509	 K
letters	I, J, K, 	I, K, J, 	L	406	 L
letters	J, K, L, 	L, K, J, 	M	337	 M
letters	K, L, M, 	K, M, L, 	N	399	 N
letters	L, M, N, 	N, M, L, 	O	440	 O
letters	M, N, O, 	N, M, O, 	P	350	 P
letters	N, O, P, 	O, P, N, 	Q	1195	 Q
letters	O, P, Q, 	Q, O, P, 	R	371	 R
letters	P, Q, R, 	R, Q, P, 	S	311	 S
letters	Q, R, S, 	S, Q, R, 	T	309	 T
letters	R, S, T, 	T, R, S, 	U	471	 U
letters	S, T, U, 	U, S, T, 	V	569	 V
letters	T, U, V, 	T, V, U, 	W	370	 W
letters	U, V, W, 	U, W, V, 	X	1395	 X
letters	V, W, X, 	X, V, W, 	Y	575	 Y
letters	W, X, Y, 	W, Y, X, 	Z	1168	 Z
